RMCode,name,Usage Mass,Usage Value,StockOnHand Mass,StockOn Hand Value
R182,LS6155X HV 55% - DRUM,1484.016,31348.219,-100.267,-2155.7405
E703,M748 / UNIMUL E1050,191.91,2514.021,-72,-943.2
E713,M818,2600.311,45799.6578,102.75,2209.125
E220,MAKEEAN M310,117.24,1641.36,401.3,5618.2
P683,MAROON TONER R-631,96.651,11380.865,287.9,33108.5
R181,MCS4255W HV 55% - SQ BIN,27362.633,462852.2865,-241.5,-4033.05
S435,METHANOL,32095.004,216141.9755,5590.358,36896.3628
S705,METHYL ETHYL KETONE,604.177,10966.2714,3207.13,51955.506
S807,METHYLENE CHLORIDE,235.001,2585.011,134.5,1479.5
A018,METOXIM 100/EXKIN/MEKO,720.485,26380.991,339.059,12206.124
F320,MICA 325 MESH DRY 10-45UM,396.585,3925.6425,2.6,27.3
F343,MICROBRITE 10-A18,139.487,488.2045,38.104,133.364
F341,MICROBRITE 2-A6,0.7,2.485,157.5,559.125
F342,MICROBRITE 5-A15,61.698,209.7732,187.8,638.52
PY01,MONO ETHYLENE GLYCOL,166.724,2084.05,217.441,2718.0125
P150,MZAP 50%,3857.009,105585.433,3136.317,84680.559
S619,N-BUTYL ACETATE,1863.936,39813.1402,102.215,2269.173
A322,NP 9,70.7,2149.28,202.636,6160.1344
F950,P CEMENT,172.19,671.541,78.002,304.2078
R062,PETRORESIN SK 120,2940.626,49853.2048,11613.5,195106.8
AC24,PHOSPHORIC ACID 85% INDUSTRIAL,1399.059,23672.103,154,2618
OL09,PLASTICHLOR 52L,648.686,15260.223,100,2350
P465,PRIMROSE CHROME P32,309.187,16360.706,463.401,31511.268
ZY-60,PU WORKAWAY ALL COLORS,712.8,7128,0,0
ZY-73,PVA WORKAWAY ALL COLORS,43.2,129.6,0,0
R652,PVB 3A / MOWITAL B60H,605,43800,0,0
R655,PVB RE-CYCLE,1100,5500,750,3750
ZY-40,QD WORKAWAY ALL COLORS,781.05,3124.2,5200,20800
P685,RED IS537,1155.381,85777.872,34.877,2580.898
P568,RED OXIDE SYNOX 4130,7749.337,123872.318,10183.1,142563.4
P690,RED PO IS538,51.604,3870.3,239,17925
P684,RED TONER 3,6.273,501.84,0,0
14-401,REFILL (Z14-401) EPS15 ETCH PRIMER:YELLOWOX 4920,0,0,0,0
39-901,REFILL (Z302) FDE BLACK,70.5,1303.8834,0,0
OL21,REFINED SOYA OIL,10,140,151,2114
R044,RESIN UCAR BKS-60,1601.443,55987.1675,130.5,4567.5
ZY-76,ROOF PAINT WORKAWAY ALL COLORS,7.08,28.32,0,0
ZY-31,S/GLOSS WORKAWAY ALL COLORS,158.4,1188,1584,11880
R160,S3070X LV 70% ST/NC COMPATIBLE,1440,25617.6,20,360
S425,SABUTOL,14141.658,165994.7948,2154.567,25423.8906
P758,SCARLET SM,565.522,41865.577,785.901,56584.872
R172,SCS5540SX MV 40% - SQ BIN,3573.613,64502.6179,1685,30835.5
SS01,"SODIUM HEXAMETA PHOSPHATE, TECH POWDER",11.936,262.592,20.986,461.692
S308,SOLA10,139.04,1682.384,995.2,11345.28
F224,TALC SCOTIA UFB,15465.773,54130.2055,4091.997,14321.9895
S430,TEXANOL/CHISSO CS12/NX795,115.459,4271.983,129.7,4798.9
P120,TIO2 NG8077/SR2377/R706/R298,18762.504,717329.4536,1563.306,65189.8602
S330,TOLUENE,26848.091,343742.3739,-1296.024,-16718.7096
ZY-43,TRANSPORT ENAMEL WORKAWAYS ALL COLORS,270,1890,-50,-350
ZY-12,UNDERCOATS WORKAWAY,1357.54,6787.7,0,0
A319,UNIDISP SOLVENT,2034.256,54210.7558,-14.119,-378.3892
ZY-00-1,USED SOLVENT RESIN WAWAY,12763.955,146785.4825,-1184.17,-13617.955
S100,WATER - COLD TAP,57089.541,5708.9541,-8187.84,-818.784
A855,WAX M3E,20,350,0,0
A775,WEKCELO MP100H/CULMINALMHPC20000S/WALOCELM10000GO,2.587,77.61,38.5,1155
S325,X7B - F70/914 - T70,247870.879,2996421.251,-16334.021,-196008.252
S335,XYLENE,53269.974,672339.8587,312.121,4010.75485
P484,YELLOW CHROME MID M11G,2405.633,120003.1825,874.801,46364.453
P460,YELLOW OXIDE SYNOX 4920,2236.261,34312.9838,4271.215,61932.6175
D031,ZINC OCTOATE 16%,359.319,15118.69,61.967,2602.614
ZY-10-1,ZY-SPECIAL MEK,57.33,811.2195,967.2,13685.88
